datetime,close
2023-07-10 05:00:00,188.61
2023-07-11 05:00:00,188.08
2023-07-12 05:00:00,189.77
2023-07-13 05:00:00,190.54
2023-07-14 05:00:00,190.69
2023-07-17 05:00:00,193.99
2023-07-18 05:00:00,193.73
2023-07-19 05:00:00,195.1
2023-07-20 05:00:00,193.13
2023-07-21 05:00:00,191.94
2023-07-24 05:00:00,192.75
2023-07-25 05:00:00,193.62
2023-07-26 05:00:00,194.5
2023-07-27 05:00:00,193.22
2023-07-28 05:00:00,195.83
2023-07-31 05:00:00,196.45
2023-08-01 05:00:00,195.605
2023-08-02 05:00:00,192.58
2023-08-03 05:00:00,191.17
2023-08-04 05:00:00,181.99
2023-08-07 05:00:00,178.85
2023-08-08 05:00:00,179.8
2023-08-09 05:00:00,178.19
2023-08-10 05:00:00,177.97
2023-08-11 05:00:00,177.79
2023-08-14 05:00:00,179.46
2023-08-15 05:00:00,177.45
2023-08-16 05:00:00,176.57
2023-08-17 05:00:00,174.0
2023-08-18 05:00:00,174.49
2023-08-21 05:00:00,175.84
2023-08-22 05:00:00,177.23
2023-08-23 05:00:00,181.12
2023-08-24 05:00:00,176.38
2023-08-25 05:00:00,178.61
2023-08-28 05:00:00,180.19
2023-08-29 05:00:00,184.12
2023-08-30 05:00:00,187.65
2023-08-31 05:00:00,187.87
2023-09-01 05:00:00,189.46
2023-09-05 05:00:00,189.7
2023-09-06 05:00:00,182.91
2023-09-07 05:00:00,177.56
2023-09-08 05:00:00,178.18
2023-09-11 05:00:00,179.36
2023-09-12 05:00:00,176.3
2023-09-13 05:00:00,174.21
2023-09-14 05:00:00,175.74
2023-09-15 05:00:00,175.01
2023-09-18 05:00:00,177.97
2023-09-19 05:00:00,179.07
2023-09-20 05:00:00,175.49
2023-09-21 05:00:00,173.93
2023-09-22 05:00:00,174.79
2023-09-25 05:00:00,176.08
2023-09-26 05:00:00,171.96
2023-09-27 05:00:00,170.43
2023-09-28 05:00:00,170.69
2023-09-29 05:00:00,171.21
2023-10-02 05:00:00,173.75
2023-10-03 05:00:00,172.4
2023-10-04 05:00:00,173.66
2023-10-05 05:00:00,174.91
2023-10-06 05:00:00,177.49
2023-10-09 05:00:00,178.99
2023-10-10 05:00:00,178.39
2023-10-11 05:00:00,179.8
2023-10-12 05:00:00,180.71
2023-10-13 05:00:00,178.85
2023-10-16 05:00:00,178.72
2023-10-17 05:00:00,177.15
2023-10-18 05:00:00,175.84
2023-10-19 05:00:00,175.46
2023-10-20 05:00:00,172.88
2023-10-23 05:00:00,173.0
2023-10-24 05:00:00,173.44
2023-10-25 05:00:00,171.1
2023-10-26 05:00:00,166.89
2023-10-27 05:00:00,168.22
2023-10-30 05:00:00,170.29
2023-10-31 05:00:00,170.77
2023-11-01 05:00:00,173.97
2023-11-02 05:00:00,177.57
2023-11-03 05:00:00,176.65
2023-11-06 06:00:00,179.23
2023-11-07 06:00:00,181.82
2023-11-08 06:00:00,182.89
2023-11-09 06:00:00,182.41
2023-11-10 06:00:00,186.4
2023-11-13 06:00:00,184.8
2023-11-14 06:00:00,187.44
2023-11-15 06:00:00,188.01
2023-11-16 06:00:00,189.71
2023-11-17 06:00:00,189.69
2023-11-20 06:00:00,191.45
2023-11-21 06:00:00,190.64
2023-11-22 06:00:00,191.31
2023-11-24 06:00:00,189.97
2023-11-27 06:00:00,189.79
2023-11-28 06:00:00,190.4
2023-11-29 06:00:00,189.37
2023-11-30 06:00:00,189.95
2023-12-01 06:00:00,191.24
2023-12-04 06:00:00,189.43
2023-12-05 06:00:00,193.42
